Premium Details
Customer ID, Customer Name , Premium ID , Date of Issue , Date of Expiration
10001,James Hunt,23765,23-04-2005,22-04-2010
10002,Carlos Sainz,34124,10-10-2006,09-10-2010
50001,Kimi Raikonnen,23567,15-05-2004,14-05-2009
70102,Jim Clark,34562,06-04-2000,05-04-2005
34567,Niki Lauda,98282,21-11-2001,20-11-2004
32442,Ricahrd Hammond,98546,04-09-2010,03-09-2020
75839,Jerremy Clarkson,43590,01-09-2004,31-10-2011
10001,James Hunt,23765,23-04-2005,22-04-2010
10002,Carlos Sainz,34124,10-10-2006,09-10-2010
50001,Kimi Raikonnen,23567,15-05-2004,14-05-2009
70102,Jim Clark,34562,06-04-2000,05-04-2005
34567,Niki Lauda,98282,21-11-2001,20-11-2004
32442,Ricahrd Hammond,98546,04-09-2010,03-09-2020
75839,Jerremy Clarkson,43590,01-09-2004,31-10-2011
10001,James Hunt,23765,23-04-2005,22-04-2010
10002,Carlos Sainz,34124,10-10-2006,09-10-2010
50001,Kimi Raikonnen,23567,15-05-2004,14-05-2009
70102,Jim Clark,34562,06-04-2000,05-04-2005
34567,Niki Lauda,98282,21-11-2001,20-11-2004
32442,Ricahrd Hammond,98546,04-09-2010,03-09-2020
75839,Jerremy Clarkson,43590,01-09-2004,31-10-2011
